Animal_ID,Animal_type,Stroke size,Type,live_cells_0,CD19pos_B220pos_0,CD19pos_B220pos_MHCIIpos_0,CD11cpos_0,CD11bpos_0,mMDSCs_0,gMDSCs_0,Live cells_0,CD3pos_0,CD4pos_0,CD8pos_0,live_cells_7,CD19pos_B220pos_7,CD19pos_B220pos_MHCIIpos_7,CD11cpos_7,CD11bpos_7,mMDSCs_7,gMDSCs_7,Live cells_7,CD3pos_7,CD4pos_7,CD8pos_7,live_cells_28,CD19pos_B220pos_28,CD19pos_B220pos_MHCIIpos_28,CD11cpos_28,CD11bpos_28,mMDSCs_28,gMDSCs_28,Live cells_28,CD3pos_28,CD4pos_28,CD8pos_28
PLT2 f3-16,PLT2_female,2.95362,%gated,,,,,,,,,,,,98.6,44,76.8,4.4,55.3,23.4,55.4,98.5,64.9,46.1,44.2,,,,,,,,,,,
PLT2 f4-17,PLT2_female,4.99554,%gated,,,,,,,,,,,,98.6,51.6,76.9,3.2,42,20.2,51.1,98.3,53.9,46,45.6,,,,,,,,,,,
PLT2 f5-18,PLT2_female,3.51684,%gated,,,,,,,,,,,,98.6,43.9,79.1,4.1,52.4,25.3,57.6,98.2,46.9,41.7,47.7,,,,,,,,,,,
Pound f1-6,Pound_female,1.47744,%gated,,,,,,,,,,,,98.9,46.9,96.5,15.3,50.7,40.2,42,98.6,60.2,37.9,54.7,,,,,,,,,,,
Pound f2-7,Pound_female,2.49894,%gated,,,,,,,,,,,,98.8,45.7,98,14.7,35.9,29.6,45.4,98.6,65.2,41.6,51.7,,,,,,,,,,,
Pound f3-8,Pound_female,1.29222,%gated,,,,,,,,,,,,98.7,47.1,98.6,13,32.2,34,42.1,98.3,47.6,42,48,,,,,,,,,,,
10-Pound m1 fat (2)-2016-10-25-195852,Pound_male,1.92312,%gated,,,,,,,,,,,,96.5,48.3,97.6,11.1,53.9,26,26.6,93.9,54.4,49,40.1,,,,,,,,,,,
4-Pound m2 fat (2)-2016-10-25-182255,Pound_male,2.83752,%gated,,,,,,,,,,,,97.5,54.9,93.5,13.4,43.2,15.9,22.3,95.2,79.3,45.9,39.1,,,,,,,,,,,
5-Pound m3 fat (2)-2016-10-25-182554,Pound_male,3.26412,%gated,,,,,,,,,,,,97.4,55.9,94.7,16.2,56.2,17.2,36.7,94.5,65.8,39.2,55.4,,,,,,,,,,,
9-Pound m4 WT (2)-2016-10-25-192315,WT_male,1.98666,%gated,,,,,,,,,,,,97.6,54,94.6,27.3,46.5,17.1,24.1,96.4,82.4,56.1,38.5,,,,,,,,,,,
7-Pound f1 fat (3)-2016-10-25-182901,Pound_female,2.03004,%gated,,,,,,,,,,,,97.3,48.4,97.1,9.5,44.7,20.7,25,94.1,73.1,42.3,51.4,,,,,,,,,,,
9-Pound f3 WT (4)-2016-10-25-183706,WT_female,3.25494,%gated,,,,,,,,,,,,97.1,60,98.3,9.2,67,24.8,42.1,94.5,64.7,54.4,32.3,,,,,,,,,,,
10-Pound f4 WT (4)-2016-10-25-184110,WT_female,3.37554,%gated,,,,,,,,,,,,96.6,64.2,98.3,12.4,53,15.8,31.8,93.6,47.4,55.2,33,,,,,,,,,,,
11-Pound f5 WT (4)-2016-10-25-184547,WT_female,5.95602,%gated,,,,,,,,,,,,97.8,45,98.2,22.9,54.5,18.4,27.7,96.6,82.7,52.8,41.1,,,,,,,,,,,
12-Pound f6 WT (4)-2016-10-25-185016,WT_female,3.8682,%gated,,,,,,,,,,,,95.8,55,97.9,16.3,46.9,16.5,26.7,93.1,63.3,50.8,40.8,,,,,,,,,,,
13-Pound f7 WT (5)-2016-10-25-185457,WT_female,4.7826,%gated,,,,,,,,,,,,97.2,45.6,97.1,19.7,51.8,13.6,26.9,94.9,79.4,52.6,40.6,,,,,,,,,,,
10-Pound f9 WT (5)-2016-10-25-192744,WT_female,6.99426,%gated,,,,,,,,,,,,97.3,39.6,98.1,22.3,59.2,15.7,27.1,95.1,70.7,46,42.4,,,,,,,,,,,
3-Pound m1 fat (1)-2016-10-27-181739,Pound_male,2.04084,%gated,,,,,,,,,,,,97.8,43.4,95.8,74.4,63.4,16.7,48,90.5,83.4,39.7,49.2,,,,,,,,,,,
4-Pound m2 fat (1)-2016-10-27-182216,Pound_male,2.0421,%gated,,,,,,,,,,,,97.8,45.3,95.8,66.1,49.3,18.4,31.5,92.8,79.4,43.6,51.7,,,,,,,,,,,
5-PLT2 f1 (6)-2016-10-27-182651,PLT2_female,4.64724,%gated,,,,,,,,,,,,97.2,56.7,96.9,45.5,35.5,10.7,22.2,91.9,84,44.2,30.1,,,,,,,,,,,
11-PLT2 f2(6)-2016-10-27-190950,PLT2_female,6.6582,%gated,,,,,,,,,,,,97.2,58.3,97.3,52.9,42.2,10.4,29.7,93.6,74.3,48.3,40.9,,,,,,,,,,,
7-PLT2 f3 (6)-2016-10-27-183141,PLT2_female,5.63958,%gated,,,,,,,,,,,,98,61.8,93.6,53.4,46,11.1,29.8,93.9,80.3,49.1,36.8,,,,,,,,,,,
12-PLT2 f4 (7)-2016-10-27-191425,PLT2_female,3.72852,%gated,,,,,,,,,,,,97.3,61.2,97.9,64.5,55.6,13.6,37.7,93.9,82.4,44.7,39.7,,,,,,,,,,,
9-PLT2 f5 (7)-2016-10-27-183630,PLT2_female,7.15806,%gated,,,,,,,,,,,,97.6,61.9,97.7,62.1,52.5,13.5,32.9,92.1,78.4,44.5,43.3,,,,,,,,,,,
13-PLT2 f6 (7)-2016-10-27-191900,PLT2_female,4.87674,%gated,,,,,,,,,,,,95.5,55.3,98.2,56,44.9,11.4,30.4,87.7,84.3,49.3,35.3,,,,,,,,,,,
13-PLT2 m3 (8)-2016-10-27-185031,PLT2_male,5.98266,%gated,,,,,,,,,,,,96.7,64.8,97.4,69.2,57.8,11.8,38,89.1,52.5,45.1,44.4,,,,,,,,,,,
WT1 10 164949,WT_male,5.31846,%gated,,,,,,,,,,,,96.4,40.2,98.5,5.7,24.2,25.1,57.2,95.8,66.3,46.1,43.1,,,,,,,,,,,
WT2 11 165346,WT_male,3.94074,%gated,,,,,,,,,,,,94.9,38.1,97.6,5.3,16.4,17.5,57.2,95.6,70.6,48.3,41.2,,,,,,,,,,,
WT3 12 165734,WT_male,2.73816,%gated,,,,,,,,,,,,95.6,34.5,98.1,7.4,19.9,24.2,49.9,96.4,60.8,43.3,46.1,,,,,,,,,,,
WT5 14 170351,WT_male,4.71348,%gated,,,,,,,,,,,,95.1,40.7,98.5,6.9,17.6,18.5,57.3,95.9,69.7,42.3,48.3,,,,,,,,,,,
3-M PLT2 male 1 (1)-202522,PLT2_male,0.4896,Number,,,,,,,,,,,,,,,,,,,,,,,214027,108457,107703,2329,6200,1567,2568,81515,23377,10757,9814
4-M PLT2 male 2 (2)-203758,PLT2_male,1.71576,Number,,,,,,,,,,,,,,,,,,,,,,,217764,103007,102321,2413,6963,1783,2525,97361,36618,16977,17467
8-M PLT2 male 3 (3)-204459,PLT2_male,2.84736,Number,,,,,,,,,,,,,,,,,,,,,,,120169,62536,62127,1327,4244,970,1554,209370,62823,32591,26828
9-M PLT2 male 4 (4)-205036,PLT2_male,5.78448,Number,,,,,,,,,,,,,,,,,,,,,,,122943,56372,55911,989,7493,1741,4538,85666,34326,17198,15230
10-M PLT2 male 5 (11)-205612,PLT2_male,4.97544,Number,,,,,,,,,,,,,,,,,,,,,,,78256,41085,40632,994,2265,660,580,182382,66176,34138,28001
12-M Pound male2 WT (6)-210725,WT_male,2.84544,Number,,,,,,,,,,,,,,,,,,,,,,,81980,33851,33523,786,2161,722,731,252057,133937,73874,53905
13-M Pound male 3 fat (7)-211303,Pound_male,1.80672,Number,,,,,,,,,,,,,,,,,,,,,,,97417,31033,30789,980,6559,1953,3470,267772,67591,28923,35215
14-M Pound male4 WT (8)-211839,WT_male,5.02944,Number,,,,,,,,,,,,,,,,,,,,,,,100011,52889,52537,2031,3636,1025,724,263187,69785,38476,27145
8-M Pound male5 fat (9)-102106,Pound_male,3.12936,Number,,,,,,,,,,,,,,,,,,,,,,,162449,46107,41558,2085,6310,2172,2255,156724,73519,30853,37939
9-M PLT2 female2 (13)-102643,PLT2_female,7.23624,Number,,,,,,,,,,,,,,,,,,,,,,,189649,66239,65264,3822,8657,2233,2711,122930,22293,12005,8694
10-M Pound female1 fat (14)-103220,Pound_female,2.64768,Number,,,,,,,,,,,,,,,,,,,,,,,172275,45930,45234,4958,13976,5570,4970,143323,46848,23287,21198
11-M Pound female2 fat (15)-104904,Pound_female,1.7988,Number,,,,,,,,,,,,,,,,,,,,,,,100719,24375,22350,923,3677,1179,1450,105913,36605,15872,18811
3-PLT2 male 1 (1)-173641,PLT2_male,5.29656,Number,,,,,,,,,,,,,,,,,,,,,,,177087,116166,114500,3357,9274,1967,3638,67632,23950,11169,11043
4-PLT2 male 2 (2)-174027,PLT2_male,3.2772,Number,,,,,,,,,,,,,,,,,,,,,,,163866,93977,92753,2617,8307,1832,3725,93635,29641,14545,12222
5-Pound male WT1 (3)-174409,WT_male,6.20208,Number,,,,,,,,,,,,,,,,,,,,,,,141317,65803,64707,5098,12801,1561,5812,59863,19397,9668,7737
6-Pound male fat1 (4)-174737,Pound_male,2.41368,Number,,,,,,,,,,,,,,,,,,,,,,,145322,63535,61724,2499,11980,2301,5989,66037,31235,12479,16234
8-Pound male fat4 (7)-175445,Pound_male,1.14432,Number,,,,,,,,,,,,,,,,,,,,,,,151847,69116,67588,4446,13303,2397,6380,146029,61172,28058,28149
10-PLT2 male4 (9)-180153,PLT2_male,2.62536,Number,,,,,,,,,,,,,,,,,,,,,,,215651,106402,103747,3674,10517,1760,3403,160858,66142,34190,27411
11-PLT2 male 5 (10)-180503,PLT2_male,2.84256,Number,,,,,,,,,,,,,,,,,,,,,,,155071,82564,81425,3027,13073,2063,6165,134240,28926,11514,13358
12-Pound female fat1 (12)-180832,Pound_female,3.60168,Number,,,,,,,,,,,,,,,,,,,,,,,100358,33694,33096,2509,11388,2274,6165,132501,40830,12437,18005
13-Pound female fat2 (13)-181210,Pound_female,0.50736,Number,,,,,,,,,,,,,,,,,,,,,,,189714,69947,68559,4881,25787,3927,14285,77427,29780,12003,12567
14-Pound female WT1 (14)-181539,WT_female,7.48848,Number,,,,,,,,,,,,,,,,,,,,,,,166760,81836,80622,3677,14099,1843,7978,178361,59406,29524,20579
15-Pound female WT2 (16)-181917,WT_female,4.01784,Number,,,,,,,,,,,,,,,,,,,,,,,138212,48979,47284,3914,9295,1549,3344,129532,55744,27315,22419
met 1.1 1#2-081930-12,WT_female,4.2132,Number,,,,,,,,,,,,,,,,,,,,,,,352573,165744,162699,5090,22925,4459,2882,217194,70093,36072,27746
met 1.1 1#4-082507-13,Pound_female,0.8148,Number,,,,,,,,,,,,,,,,,,,,,,,334361,127843,126574,7688,27191,8469,4429,181911,52303,19400,25626
met 1.1 2#1-083044-14,Pound_female,1.95984,Number,,,,,,,,,,,,,,,,,,,,,,,349863,139178,138239,8089,34745,11620,8612,203279,51440,20700,22322
met 1.1 4#1-083632-15,PLT2_female,5.47224,Number,,,,,,,,,,,,,,,,,,,,,,,384260,217894,214752,5482,28659,4666,7374,271442,70175,28179,27609
met 1.1 4#3-084739-17,PLT2_female,4.7004,Number,,,,,,,,,,,,,,,,,,,,,,,405747,214592,212363,7675,42782,8108,14055,92853,22722,9451,8472
met 1.2 2#2-085323-18,Pound_female,1.60992,Number,,,,,,,,,,,,,,,,,,,,,,,58994,31174,30972,563,3358,492,730,,,,
met 1.2 2#3-085859-19,WT_female,1.12632,Number,,,,,,,,,,,,,,,,,,,,,,,417284,181291,178996,7978,30014,6712,3946,210111,73442,35211,26298
met 1.2 2#4-090437-20,WT_female,2.09472,Number,,,,,,,,,,,,,,,,,,,,,,,327947,142456,140257,5589,20950,4454,3507,141700,48922,23120,19572
met 1.2 3#4-091020-21,WT_female,no data,Number,,,,,,,,,,,,,,,,,,,,,,,372124,174970,171645,5782,33950,7319,6522,135790,44000,19969,17901
met 1.2 4#4-091701-22,PLT2_female,3.74064,Number,,,,,,,,,,,,,,,,,,,,,,,321526,159227,157166,5112,35669,6849,11162,115386,35345,15569,11796
3-M PLT2 male 1 (1)-202522,PLT2_male,0.4896,%gated,,,,,,,,,,,,,,,,,,,,,,,96.5,50.7,99.3,7.2,19.3,25.3,41.4,81515,67.1,46,42
4-M PLT2 male 2 (2)-203758,PLT2_male,1.71576,%gated,,,,,,,,,,,,,,,,,,,,,,,96.2,47.3,99.3,8.4,24.2,25.6,36.3,97361,68.8,46.4,47.7
8-M PLT2 male 3 (3)-204459,PLT2_male,2.84736,%gated,,,,,,,,,,,,,,,,,,,,,,,95.6,52,99.3,8.9,28.5,22.9,36.6,209370,61.3,51.9,42.7
9-M PLT2 male 4 (4)-205036,PLT2_male,5.78448,%gated,,,,,,,,,,,,,,,,,,,,,,,96,45.9,99.2,5.1,38.4,23.2,60.6,85666,73.4,50.1,44.4
10-M PLT2 male 5 (11)-205612,PLT2_male,4.97544,%gated,,,,,,,,,,,,,,,,,,,,,,,95.5,52.5,98.9,13.7,31.2,29.1,25.6,,,,
12-M Pound male2 WT (6)-210725,WT_male,2.84544,%gated,,,,,,,,,,,,,,,,,,,,,,,95.9,41.3,99,17.7,48.5,33.4,33.8,252057,83.4,55.2,40.2
13-M Pound male 3 fat (7)-211303,Pound_male,1.80672,%gated,,,,,,,,,,,,,,,,,,,,,,,95.2,31.9,99.2,3.6,23.9,29.8,52.9,267772,39.9,42.8,52.1
14-M Pound male4 WT (8)-211839,WT_male,5.02944,%gated,,,,,,,,,,,,,,,,,,,,,,,94.6,52.9,99.3,24,42.9,28.2,19.9,263187,61.2,55.1,38.9
8-M Pound male5 fat (9)-102106,Pound_male,3.12936,%gated,,,,,,,,,,,,,,,,,,,,,,,95.6,28.4,90.1,13.4,40.6,34.4,35.7,160858,70.4,51.7,41.4
9-M PLT2 female2 (13)-102643,PLT2_female,7.23624,%gated,,,,,,,,,,,,,,,,,,,,,,,91.3,34.9,98.5,7.2,16.4,25.8,31.3,122930,31.7,53.9,39
10-M Pound female1 fat (14)-103220,Pound_female,2.64768,%gated,,,,,,,,,,,,,,,,,,,,,,,98.9,49.1,98.5,16,61.4,13.1,56.6,143323,49.7,49.7,45.2
11-M Pound female2 fat (15)-104904,Pound_female,1.7988,%gated,,,,,,,,,,,,,,,,,,,,,,,93.4,24.2,91.7,5,20,32.1,39.4,105913,52.8,43.4,51.4
3-PLT2 male 1 (1)-173641,PLT2_male,5.29656,%gated,,,,,,,,,,,,,,,,,,,,,,,98.3,65.6,98.6,14.1,38.8,21.2,39.2,67632,65.7,46.6,46.1
4-PLT2 male 2 (2)-174027,PLT2_male,3.2772,%gated,,,,,,,,,,,,,,,,,,,,,,,98.4,57.3,98.7,8.9,28.3,22.1,44.8,93635,65.7,49.1,41.2
5-Pound male WT1 (3)-174409,WT_male,6.20208,%gated,,,,,,,,,,,,,,,,,,,,,,,97.6,46.6,98.3,15.8,39.5,12.2,45.4,59863,62.8,49.8,39.9
6-Pound male fat1 (4)-174737,Pound_male,2.41368,%gated,,,,,,,,,,,,,,,,,,,,,,,97.6,43.7,97.1,8.3,39.7,19.2,50,66037,74.5,40,52
8-Pound male fat4 (7)-175445,Pound_male,1.14432,%gated,,,,,,,,,,,,,,,,,,,,,,,97.7,45.5,97.8,14,42,18,48,146029,68.5,45.9,46
10-PLT2 male4 (9)-180153,PLT2_male,2.62536,%gated,,,,,,,,,,,,,,,,,,,,,,,99.7,49.3,97.5,9.7,27.9,16.7,32.4,156724,70.2,42,51.6
11-PLT2 male 5 (10)-180503,PLT2_male,2.84256,%gated,,,,,,,,,,,,,,,,,,,,,,,99.3,53.2,98.6,7.7,33.1,15.8,47.2,134240,40.7,39.8,46.2
12-Pound female fat1 (12)-180832,Pound_female,3.60168,%gated,,,,,,,,,,,,,,,,,,,,,,,98.1,33.6,98.2,8.1,36.6,20,54.1,132501,44.8,30.5,44.1
13-Pound female fat2 (13)-181210,Pound_female,0.50736,%gated,,,,,,,,,,,,,,,,,,,,,,,99,36.9,98,12,63.5,15.2,55.4,77427,59.4,40.3,42.2
14-Pound female WT1 (14)-181539,WT_female,7.48848,%gated,,,,,,,,,,,,,,,,,,,,,,,93.8,26.7,98.5,16.3,45.9,39.9,35.6,178361,60.9,49.7,34.6
15-Pound female WT2 (16)-181917,WT_female,4.01784,%gated,,,,,,,,,,,,,,,,,,,,,,,99.6,35.4,96.5,19.7,46.7,16.7,36,129532,64.3,49,40.2
met 1.2 3#4-091020-21,Pound WT female,no data,%gated,,,,,,,,,,,,,,,,,,,,,,,97.7,47,98.1,2.8,16.5,21.6,19.2,95.8,68.7,45.4,40.7
met 1.2 2#4-090437-20,Pound WT female,2.09472,%gated,,,,,,,,,,,,,,,,,,,,,,,97.5,43.4,98.5,3,11.3,21.3,16.7,95.5,70.5,47.3,40
met 1.2 2#3-085859-19,Pound WT female,1.12632,%gated,,,,,,,,,,,,,,,,,,,,,,,97.8,43.4,98.7,3.3,12.5,22.4,13.1,96.2,71.1,47.9,35.8
met 1.1 1#2-081930-12,Pound WT female,4.2132,%gated,,,,,,,,,,,,,,,,,,,,,,,98.3,47,98.2,2.8,12.5,19.5,12.6,96.2,69.7,51.5,39.6
met 1.2 4#4-091701-22,PLT2 female,3.74064,%gated,,,,,,,,,,,,,,,,,,,,,,,97.7,49.5,98.7,3,21,19.2,31.3,94.8,65.4,44,33.4
met 1.1 4#3-084739-17,PLT2 female,4.7004,%gated,,,,,,,,,,,,,,,,,,,,,,,96.7,52.9,99,3.8,21.1,19,32.9,94,58.2,41.6,37.3
met 1.1 4#1-083632-15,PLT2 female,5.47224,%gated,,,,,,,,,,,,,,,,,,,,,,,97.4,56.7,98.6,3.2,16.6,16.3,25.7,94.8,68,40.2,39.3
met 1.2 2#2-085323-18,Pound fat female,1.60992,%gated,,,,,,,,,,,,,,,,,,,,,,,92.4,52.8,99.4,1.5,8.7,14.7,21.7,,,,
met 1.1 2#1-083044-14,Pound fat female,1.95984,%gated,,,,,,,,,,,,,,,,,,,,,,,97.8,39.8,99.3,3.8,16.3,33.4,24.8,94.6,44.6,40.2,43.4
met 1.1 1#4-082507-13,Pound fat female,0.8148,%gated,,,,,,,,,,,,,,,,,,,,,,,97.5,38.2,99,3.6,12.8,31.1,16.3,94.7,49.4,37.1,49